Year,Median Household Income,Median Household Income Margin of Error,County,Area FIPs
2023,126240,1364.0,Alameda County,06001
2023,110781,18601.0,Alpine County,06003
2023,81526,7398.0,Amador County,06005
2023,68574,2351.0,Butte County,06007
2023,79877,4638.0,Calaveras County,06009
2023,75149,8491.0,Colusa County,06011
2023,125727,1829.0,Contra Costa County,06013
2023,66780,6256.0,Del Norte County,06015
2023,106190,3811.0,El Dorado County,06017
2023,71434,1034.0,Fresno County,06019
2023,70487,4406.0,Glenn County,06021
2023,61135,1997.0,Humboldt County,06023
2023,56393,2266.0,Imperial County,06025
2023,72432,7052.000000000001,Inyo County,06027
2023,67660,1400.0,Kern County,06029
2023,68750,2976.0,Kings County,06031
2023,58738,2308.0,Lake County,06033
2023,64395,5496.0,Lassen County,06035
2023,87760,463.0,Los Angeles County,06037
2023,75496,2389.0,Madera County,06039
2023,142785,4083.000000000001,Marin County,06041
2023,65378,7311.000000000001,Mariposa County,06043
2023,64688,2951.0,Mendocino County,06045
2023,65044,2052.0,Merced County,06047
2023,56648,3735.0,Modoc County,06049
2023,86953,18529.0,Mono County,06051
2023,94486,1879.0,Monterey County,06053
2023,108970,3018.0,Napa County,06055
2023,84905,4336.0,Nevada County,06057
2023,113702,986.0,Orange County,06059
2023,114678,1891.0,Placer County,06061
2023,64946,4399.0,Plumas County,06063
2023,89672,879.0000000000001,Riverside County,06065
2023,88724,986.0,Sacramento County,06067
2023,108289,4359.0,San Benito County,06069
2023,82184,950.0,San Bernardino County,06071
2023,102285,898.9999999999999,San Diego County,06073
2023,141446,2576.0,San Francisco County,06075
2023,88531,1554.0,San Joaquin County,06077
2023,93398,2535.0,San Luis Obispo County,06079
2023,156000,3019.0,San Mateo County,06081
2023,95977,1875.0,Santa Barbara County,06083
2023,159674,1962.0,Santa Clara County,06085
2023,109266,2959.0,Santa Cruz County,06087
2023,71931,2596.0,Shasta County,06089
2023,60000,17579.0,Sierra County,06091
2023,55499,2854.0,Siskiyou County,06093
2023,99994,2122.0,Solano County,06095
2023,102840,2032.0,Sonoma County,06097
2023,79661,1906.0,Stanislaus County,06099
2023,75450,3741.0,Sutter County,06101
2023,61834,3283.0,Tehama County,06103
2023,53498,7852.000000000001,Trinity County,06105
2023,69489,1785.0,Tulare County,06107
2023,72259,5678.0,Tuolumne County,06109
2023,107327,1391.0,Ventura County,06111
2023,88818,3641.0,Yolo County,06113
2023,73313,4341.0,Yuba County,06115
2022,122488,1231.0,Alameda County,06001
2022,101125,17442.0,Alpine County,06003
2022,74853,6048.0,Amador County,06005
2022,66085,2261.0,Butte County,06007
2022,77526,3875.000000000001,Calaveras County,06009
2022,69619,5745.0,Colusa County,06011
2022,120020,1496.0,Contra Costa County,06013
2022,61149,4376.0,Del Norte County,06015
2022,99246,3330.0,El Dorado County,06017
2022,67756,967.0,Fresno County,06019
2022,64033,3963.0,Glenn County,06021
2022,57881,2131.0,Humboldt County,06023
2022,53847,2214.0,Imperial County,06025
2022,63417,5453.0,Inyo County,06027
2022,63883,1325.0,Kern County,06029
2022,68540,2253.0,Kings County,06031
2022,56259,2439.0,Lake County,06033
2022,59515,3551.0000000000005,Lassen County,06035
2022,83411,439.0,Los Angeles County,06037
2022,73543,2844.0,Madera County,06039
2022,142019,4098.0,Marin County,06041
2022,60021,5293.0,Mariposa County,06043
2022,61335,2198.0,Mendocino County,06045
2022,64772,2142.0,Merced County,06047
2022,54962,5389.0,Modoc County,06049
2022,82038,15388.0,Mono County,06051
2022,91043,1900.0,Monterey County,06053
2022,105809,2981.0,Napa County,06055
2022,79395,3823.0,Nevada County,06057
2022,109361,882.0,Orange County,06059
2022,109375,1856.0,Placer County,06061
2022,67885,7772.000000000001,Plumas County,06063
2022,84505,1061.0,Riverside County,06065
2022,84010,816.0,Sacramento County,06067
2022,104451,5461.0,San Benito County,06069
2022,77423,806.0,San Bernardino County,06071
2022,96974,993.0,San Diego County,06073
2022,136689,1954.0,San Francisco County,06075
2022,82837,1448.0,San Joaquin County,06077
2022,90158,2311.0,San Luis Obispo County,06079
2022,149907,2621.0,San Mateo County,06081
2022,92332,1889.0,Santa Barbara County,06083
2022,153792,1545.0,Santa Clara County,06085
2022,104409,3173.0,Santa Cruz County,06087
2022,68347,2480.0,Shasta County,06089
2022,61108,9237.0,Sierra County,06091
2022,53898,2640.0,Siskiyou County,06093
2022,97037,1724.0,Solano County,06095
2022,99266,1988.0,Sonoma County,06097
2022,74872,1371.0,Stanislaus County,06099
2022,72654,3425.0000000000005,Sutter County,06101
2022,59029,4103.0,Tehama County,06103
2022,47317,5890.0,Trinity County,06105
2022,64474,1489.0,Tulare County,06107
2022,70432,4691.0,Tuolumne County,06109
2022,102141,1528.0,Ventura County,06111
2022,85097,2333.0,Yolo County,06113
2022,66693,2796.0,Yuba County,06115
2021,112017,1043.0,Alameda County,06001
2021,96000,24486.0,Alpine County,06003
2021,69955,5482.0,Amador County,06005
2021,59863,1989.0,Butte County,06007
2021,70119,6448.0,Calaveras County,06009
2021,61861,6540.0,Colusa County,06011
2021,110455,1219.0,Contra Costa County,06013
2021,53280,5046.0,Del Norte County,06015
2021,88770,3114.0,El Dorado County,06017
2021,61276,1031.0,Fresno County,06019
2021,56332,4619.0,Glenn County,06021
2021,53350,2424.0,Humboldt County,06023
2021,49078,2530.0,Imperial County,06025
2021,60925,5516.0,Inyo County,06027
2021,58824,1190.0,Kern County,06029
2021,63267,1900.0,Kings County,06031
2021,53399,2483.0,Lake County,06033
2021,59292,5190.0,Lassen County,06035
2021,76367,411.0,Los Angeles County,06037
2021,66709,2541.0,Madera County,06039
2021,131008,4163.0,Marin County,06041
2021,53304,4026.0,Mariposa County,06043
2021,56378,1858.0,Mendocino County,06045
2021,58861,1698.0,Merced County,06047
2021,51090,4051.0,Modoc County,06049
2021,71138,11569.0,Mono County,06051
2021,82013,1767.0,Monterey County,06053
2021,97498,3817.0,Napa County,06055
2021,74617,3763.0,Nevada County,06057
2021,100485,718.0,Orange County,06059
2021,99734,1495.0,Placer County,06061
2021,57885,4555.0,Plumas County,06063
2021,76066,833.0,Riverside County,06065
2021,76422,758.0,Sacramento County,06067
2021,95606,5887.0,San Benito County,06069
2021,70287,765.0,San Bernardino County,06071
2021,88240,741.0,San Diego County,06073
2021,126187,2010.0,San Francisco County,06075
2021,74962,1145.0,San Joaquin County,06077
2021,82514,2487.0,San Luis Obispo County,06079
2021,136837,2151.0,San Mateo County,06081
2021,84356,1598.0,Santa Barbara County,06083
2021,140258,1577.0,Santa Clara County,06085
2021,96093,2903.0,Santa Cruz County,06087
2021,61937,2140.0,Shasta County,06089
2021,56152,7184.000000000001,Sierra County,06091
2021,49857,2637.0,Siskiyou County,06093
2021,89648,1708.0,Solano County,06095
2021,91607,1792.0,Sonoma County,06097
2021,68368,1506.0,Stanislaus County,06099
2021,67003,2559.0,Sutter County,06101
2021,52901,3393.0,Tehama County,06103
2021,42206,3065.0,Trinity County,06105
2021,57394,1402.0,Tulare County,06107
2021,66846,6779.0,Tuolumne County,06109
2021,94150,1310.0,Ventura County,06111
2021,78386,1935.0,Yolo County,06113
2021,62666,3347.0,Yuba County,06115
2020,104888,1041.0,Alameda County,06001
2020,85750,23875.0,Alpine County,06003
2020,65187,4225.0,Amador County,06005
2020,54972,2501.0,Butte County,06007
2020,67054,4535.0,Calaveras County,06009
2020,59427,5384.0,Colusa County,06011
2020,103997,1239.0,Contra Costa County,06013
2020,49981,5145.0,Del Norte County,06015
2020,83710,2228.0,El Dorado County,06017
2020,57109,929.0,Fresno County,06019
2020,51682,3745.0,Glenn County,06021
2020,49235,2278.0,Humboldt County,06023
2020,46222,2499.0,Imperial County,06025
2020,59296,4257.0,Inyo County,06027
2020,54851,1087.0,Kern County,06029
2020,61556,1585.0,Kings County,06031
2020,49254,1891.0,Lake County,06033
2020,56971,3441.0,Lassen County,06035
2020,71358,336.0,Los Angeles County,06037
2020,61924,2695.0,Madera County,06039
2020,121671,3166.0,Marin County,06041
2020,50960,3491.0000000000005,Mariposa County,06043
2020,52915,2375.0,Mendocino County,06045
2020,56330,1450.0,Merced County,06047
2020,51250,4505.0,Modoc County,06049
2020,64924,12575.0,Mono County,06051
2020,76943,1395.0,Monterey County,06053
2020,92219,2624.0,Napa County,06055
2020,68333,3075.0,Nevada County,06057
2020,94441,865.9999999999999,Orange County,06059
2020,93677,1470.0,Placer County,06061
2020,57233,5514.0,Plumas County,06063
2020,70732,673.0,Riverside County,06065
2020,70684,700.0,Sacramento County,06067
2020,85808,5575.0,San Benito County,06069
2020,65761,602.0,San Bernardino County,06071
2020,82426,734.0,San Diego County,06073
2020,119136,2130.0,San Francisco County,06075
2020,68628,1259.0,San Joaquin County,06077
2020,77948,1751.0,San Luis Obispo County,06079
2020,128091,2077.0,San Mateo County,06081
2020,78925,1565.0,Santa Barbara County,06083
2020,130890,874.0000000000001,Santa Clara County,06085
2020,89986,2417.0,Santa Cruz County,06087
2020,57139,1761.0,Shasta County,06089
2020,52103,5715.0,Sierra County,06091
2020,47403,2202.0,Siskiyou County,06093
2020,84638,1362.0,Solano County,06095
2020,86173,1168.0,Sonoma County,06097
2020,62873,1328.0,Stanislaus County,06099
2020,63502,2681.0,Sutter County,06101
2020,48895,2550.0,Tehama County,06103
2020,41780,5371.0,Trinity County,06105
2020,52534,1235.0,Tulare County,06107
2020,60509,4193.0,Tuolumne County,06109
2020,89295,1119.0,Ventura County,06111
2020,73746,1893.0,Yolo County,06113
2020,59424,2847.0,Yuba County,06115
2019,99406,921.0,Alameda County,06001
2019,63750,17778.0,Alpine County,06003
2019,62772,2756.0,Amador County,06005
2019,52537,1618.0,Butte County,06007
2019,63158,4128.0,Calaveras County,06009
2019,59401,4265.0,Colusa County,06011
2019,99716,1157.0,Contra Costa County,06013
2019,45283,5017.0,Del Norte County,06015
2019,83377,2342.0,El Dorado County,06017
2019,53969,794.0,Fresno County,06019
2019,49633,2854.0,Glenn County,06021
2019,48041,1797.9999999999998,Humboldt County,06023
2019,47622,1761.0,Imperial County,06025
2019,57316,4087.0,Inyo County,06027
2019,53350,909.0,Kern County,06029
2019,57848,1714.0,Kings County,06031
2019,47040,2697.0,Lake County,06033
2019,56352,2090.0,Lassen County,06035
2019,68044,347.0,Los Angeles County,06037
2019,57585,2351.0,Madera County,06039
2019,115246,3328.0,Marin County,06041
2019,48820,4413.0,Mariposa County,06043
2019,51416,2038.0,Mendocino County,06045
2019,53672,1936.0,Merced County,06047
2019,45507,5925.0,Modoc County,06049
2019,62260,6457.0,Mono County,06051
2019,71015,1262.0,Monterey County,06053
2019,88596,2026.0,Napa County,06055
2019,66096,3314.0,Nevada County,06057
2019,90234,540.0,Orange County,06059
2019,89691,1824.0,Placer County,06061
2019,55359,4650.0,Plumas County,06063
2019,67005,638.0,Riverside County,06065
2019,67151,802.0,Sacramento County,06067
2019,86958,4946.0,San Benito County,06069
2019,63362,581.0,San Bernardino County,06071
2019,78980,723.0,San Diego County,06073
2019,112449,1612.0,San Francisco County,06075
2019,64432,745.0,San Joaquin County,06077
2019,73518,1656.0,San Luis Obispo County,06079
2019,122641,1680.0,San Mateo County,06081
2019,74624,1710.0000000000002,Santa Barbara County,06083
2019,124055,1117.0,Santa Clara County,06085
2019,82234,2168.0,Santa Cruz County,06087
2019,54667,1486.0,Shasta County,06089
2019,52148,13874.0,Sierra County,06091
2019,45241,2380.0,Siskiyou County,06093
2019,81472,1384.0,Solano County,06095
2019,81018,1194.0,Sonoma County,06097
2019,60704,1045.0,Stanislaus County,06099
2019,59050,2491.0,Sutter County,06101
2019,44514,2916.0,Tehama County,06103
2019,40846,3837.0,Trinity County,06105
2019,49687,1171.0,Tulare County,06107
2019,60108,4605.0,Tuolumne County,06109
2019,88131,1069.0,Ventura County,06111
2019,70228,1616.0,Yolo County,06113
2019,58054,2384.0,Yuba County,06115
2018,92574,1023.0,Alameda County,06001
2018,64688,12933.0,Alpine County,06003
2018,61198,3241.0,Amador County,06005
2018,48443,1477.0,Butte County,06007
2018,58151,3310.0,Calaveras County,06009
2018,56704,4501.0,Colusa County,06011
2018,93712,926.0,Contra Costa County,06013
2018,45258,5035.0,Del Norte County,06015
2018,80582,2117.0,El Dorado County,06017
2018,51261,808.0,Fresno County,06019
2018,47395,3209.0,Glenn County,06021
2018,45528,1359.0,Humboldt County,06023
2018,45834,1861.0,Imperial County,06025
2018,52874,3230.0,Inyo County,06027
2018,52479,729.0,Kern County,06029
2018,53865,2352.0,Kings County,06031
2018,42475,2511.0,Lake County,06033
2018,56362,1943.0,Lassen County,06035
2018,64251,247.0,Los Angeles County,06037
2018,52884,1923.0,Madera County,06039
2018,110217,3332.0,Marin County,06041
2018,51199,3487.0,Mariposa County,06043
2018,49233,2356.0,Mendocino County,06045
2018,50129,1671.0,Merced County,06047
2018,45149,5555.0,Modoc County,06049
2018,63018,5826.0,Mono County,06051
2018,66676,1234.0,Monterey County,06053
2018,84753,2198.0,Napa County,06055
2018,63240,1916.0,Nevada County,06057
2018,85398,719.0,Orange County,06059
2018,84357,1469.0,Placer County,06061
2018,53270,3391.0,Plumas County,06063
2018,63948,454.00000000000006,Riverside County,06065
2018,63902,512.0,Sacramento County,06067
2018,81977,4226.0,San Benito County,06069
2018,60164,626.0,San Bernardino County,06071
2018,74855,578.0,San Diego County,06073
2018,104552,1533.0,San Francisco County,06075
2018,61145,1022.0,San Joaquin County,06077
2018,70699,1500.0,San Luis Obispo County,06079
2018,113776,1672.0,San Mateo County,06081
2018,71657,1476.0,Santa Barbara County,06083
2018,116178,938.0,Santa Clara County,06085
2018,78041,1462.0,Santa Cruz County,06087
2018,50905,1445.0,Shasta County,06089
2018,48125,7465.0,Sierra County,06091
2018,44200,2158.0,Siskiyou County,06093
2018,77609,1309.0,Solano County,06095
2018,76753,1039.0,Sonoma County,06097
2018,57387,1316.0,Stanislaus County,06099
2018,56955,2206.0,Sutter County,06101
2018,42899,2347.0,Tehama County,06103
2018,38497,4689.0,Trinity County,06105
2018,47518,1141.0,Tulare County,06107
2018,56493,3992.000000000001,Tuolumne County,06109
2018,84017,1199.0,Ventura County,06111
2018,65923,2023.0,Yolo County,06113
2018,52624,2827.0,Yuba County,06115
2017,85743,940.0,Alameda County,06001
2017,63438,4535.0,Alpine County,06003
2017,60636,2765.0,Amador County,06005
2017,46516,1130.0,Butte County,06007
2017,54800,3529.0,Calaveras County,06009
2017,56481,4858.0,Colusa County,06011
2017,88456,822.0,Contra Costa County,06013
2017,41287,4114.0,Del Norte County,06015
2017,74885,2565.0,El Dorado County,06017
2017,48730,655.0,Fresno County,06019
2017,46260,3402.0,Glenn County,06021
2017,43718,1579.0,Humboldt County,06023
2017,44779,1850.0,Imperial County,06025
2017,51500,4578.0,Inyo County,06027
2017,50826,771.0,Kern County,06029
2017,49742,1744.0,Kings County,06031
2017,40446,2857.0,Lake County,06033
2017,54083,2927.0,Lassen County,06035
2017,61015,262.0,Los Angeles County,06037
2017,48210,2108.0,Madera County,06039
2017,104703,1763.0000000000002,Marin County,06041
2017,51385,3637.000000000001,Mariposa County,06043
2017,46528,1787.0,Mendocino County,06045
2017,46338,1301.0,Merced County,06047
2017,39296,4907.0,Modoc County,06049
2017,60595,6356.0,Mono County,06051
2017,63249,1209.0,Monterey County,06053
2017,79637,1895.0,Napa County,06055
2017,60610,2262.0,Nevada County,06057
2017,81851,570.0,Orange County,06059
2017,80488,1431.0,Placer County,06061
2017,50266,3476.0,Plumas County,06063
2017,60807,429.0,Riverside County,06065
2017,60239,475.0,Sacramento County,06067
2017,80760,3889.0,San Benito County,06069
2017,57156,594.0,San Bernardino County,06071
2017,70588,617.0,San Diego County,06073
2017,96265,1349.0,San Francisco County,06075
2017,57813,863.0,San Joaquin County,06077
2017,67175,1720.0000000000002,San Luis Obispo County,06079
2017,105667,1195.0,San Mateo County,06081
2017,68023,1420.0,Santa Barbara County,06083
2017,106761,858.0,Santa Clara County,06085
2017,73663,1682.0,Santa Cruz County,06087
2017,47258,1104.0,Shasta County,06089
2017,44190,9650.0,Sierra County,06091
2017,40884,1957.0,Siskiyou County,06093
2017,72950,1244.0,Solano County,06095
2017,71769,1046.0,Sonoma County,06097
2017,54260,976.0,Stanislaus County,06099
2017,54347,2000.0,Sutter County,06101
2017,42512,2803.0,Tehama County,06103
2017,36563,5946.0,Trinity County,06105
2017,44871,1286.0,Tulare County,06107
2017,54325,2700.0,Tuolumne County,06109
2017,81972,983.0,Ventura County,06111
2017,61621,1733.0,Yolo County,06113
2017,51776,2375.0,Yuba County,06115
2016,79831,739.0,Alameda County,06001
2016,62375,5989.0,Alpine County,06003
2016,57032,3247.0,Amador County,06005
2016,44366,1131.0,Butte County,06007
2016,53502,3912.0,Calaveras County,06009
2016,54946,3336.0,Colusa County,06011
2016,82881,984.0,Contra Costa County,06013
2016,42363,3792.0,Del Norte County,06015
2016,72586,1756.0,El Dorado County,06017
2016,45963,661.0,Fresno County,06019
2016,41699,3688.000000000001,Glenn County,06021
2016,42685,1286.0,Humboldt County,06023
2016,42560,1587.0,Imperial County,06025
2016,47278,3448.9999999999995,Inyo County,06027
2016,49788,909.0,Kern County,06029
2016,47241,1395.0,Kings County,06031
2016,36132,2745.0,Lake County,06033
2016,51457,2483.0,Lassen County,06035
2016,57952,331.0,Los Angeles County,06037
2016,45742,1704.0,Madera County,06039
2016,100310,1876.0,Marin County,06041
2016,49265,3372.0,Mariposa County,06043
2016,43510,1518.0,Mendocino County,06045
2016,44397,1141.0,Merced County,06047
2016,41194,3818.0,Modoc County,06049
2016,58937,6409.0,Mono County,06051
2016,60889,992.0,Monterey County,06053
2016,74609,1865.0,Napa County,06055
2016,57429,2569.0,Nevada County,06057
2016,78145,490.0,Orange County,06059
2016,76926,1293.0,Placer County,06061
2016,50125,3068.0,Plumas County,06063
2016,57972,542.0,Riverside County,06065
2016,57509,578.0,Sacramento County,06067
2016,73814,3746.0,San Benito County,06069
2016,54469,559.0,San Bernardino County,06071
2016,66529,460.0,San Diego County,06073
2016,87701,1447.0,San Francisco County,06075
2016,55045,896.0,San Joaquin County,06077
2016,64014,1807.0,San Luis Obispo County,06079
2016,98546,1232.0,San Mateo County,06081
2016,65161,1202.0,Santa Barbara County,06083
2016,101173,661.0,Santa Clara County,06085
2016,70088,1935.0,Santa Cruz County,06087
2016,45582,963.0,Shasta County,06089
2016,43984,11767.0,Sierra County,06091
2016,38524,2078.0,Siskiyou County,06093
2016,69227,1596.0,Solano County,06095
2016,66833,1161.0,Sonoma County,06097
2016,51591,797.0,Stanislaus County,06099
2016,52943,1645.0,Sutter County,06101
2016,40687,2118.0,Tehama County,06103
2016,35270,3838.0,Trinity County,06105
2016,42789,1042.0,Tulare County,06107
2016,50731,1795.0,Tuolumne County,06109
2016,78593,962.0,Ventura County,06111
2016,57663,1664.0,Yolo County,06113
2016,48739,2031.0,Yuba County,06115
2015,75619,613.0,Alameda County,06001
2015,52917,13603.0,Alpine County,06003
2015,54171,4208.0,Amador County,06005
2015,43444,1068.0,Butte County,06007
2015,53233,3774.000000000001,Calaveras County,06009
2015,52168,2583.0,Colusa County,06011
2015,80185,827.0,Contra Costa County,06013
2015,40847,4369.0,Del Norte County,06015
2015,69584,1835.0,El Dorado County,06017
2015,45233,692.0,Fresno County,06019
2015,39349,4204.0,Glenn County,06021
2015,42197,1183.0,Humboldt County,06023
2015,41079,1556.0,Imperial County,06025
2015,45955,2280.0,Inyo County,06027
2015,49026,865.0000000000001,Kern County,06029
2015,46481,1200.0,Kings County,06031
2015,35578,2034.0,Lake County,06033
2015,51555,2789.0,Lassen County,06035
2015,56196,270.0,Los Angeles County,06037
2015,45073,1837.0,Madera County,06039
2015,93257,2610.0,Marin County,06041
2015,47681,4294.0,Mariposa County,06043
2015,42980,1757.0,Mendocino County,06045
2015,42462,1214.0,Merced County,06047
2015,37860,4210.0,Modoc County,06049
2015,56944,10734.0,Mono County,06051
2015,58783,1121.0,Monterey County,06053
2015,71379,2063.0,Napa County,06055
2015,56521,2539.0,Nevada County,06057
2015,76509,426.0,Orange County,06059
2015,73948,1220.0,Placer County,06061
2015,47333,3575.0,Plumas County,06063
2015,56603,478.0,Riverside County,06065
2015,55987,594.0,Sacramento County,06067
2015,71077,2019.0,San Benito County,06069
2015,53433,571.0,San Bernardino County,06071
2015,64309,514.0,San Diego County,06073
2015,81294,1099.0,San Francisco County,06075
2015,53274,946.0,San Joaquin County,06077
2015,60691,1137.0,San Luis Obispo County,06079
2015,93623,1412.0,San Mateo County,06081
2015,63985,1293.0,Santa Barbara County,06083
2015,96310,783.0,Santa Clara County,06085
2015,67256,1534.0,Santa Cruz County,06087
2015,44620,1209.0,Shasta County,06089
2015,42833,8464.0,Sierra County,06091
2015,37170,1701.9999999999998,Siskiyou County,06093
2015,66828,1238.0,Solano County,06095
2015,64240,1224.0,Sonoma County,06097
2015,50125,718.0,Stanislaus County,06099
2015,52017,1350.0,Sutter County,06101
2015,41001,2564.0,Tehama County,06103
2015,34974,4081.0,Trinity County,06105
2015,42031,920.0,Tulare County,06107
2015,50306,2202.0,Tuolumne County,06109
2015,77348,954.0,Ventura County,06111
2015,54989,1553.0,Yolo County,06113
2015,46892,1931.0,Yuba County,06115
2014,73775,762.0,Alameda County,06001
2014,61343,4265.0,Alpine County,06003
2014,52964,3595.0,Amador County,06005
2014,43165,1130.0,Butte County,06007
2014,54936,3175.0,Calaveras County,06009
2014,50503,3403.0,Colusa County,06011
2014,79799,955.0,Contra Costa County,06013
2014,39302,4825.0,Del Norte County,06015
2014,68507,2109.0,El Dorado County,06017
2014,45201,713.0,Fresno County,06019
2014,40106,4665.0,Glenn County,06021
2014,42153,1275.0,Humboldt County,06023
2014,41772,1696.0,Imperial County,06025
2014,45625,2684.0,Inyo County,06027
2014,48574,913.0,Kern County,06029
2014,47341,1550.0,Kings County,06031
2014,35997,2154.0,Lake County,06033
2014,53351,3363.0,Lassen County,06035
2014,55870,244.0,Los Angeles County,06037
2014,45490,1912.0,Madera County,06039
2014,91529,2681.0,Marin County,06041
2014,50560,3962.0,Mariposa County,06043
2014,43290,1704.0,Mendocino County,06045
2014,43066,1381.0,Merced County,06047
2014,38560,3271.0,Modoc County,06049
2014,61814,5460.0,Mono County,06051
2014,58582,983.0,Monterey County,06053
2014,70925,2288.0,Napa County,06055
2014,56949,2464.0,Nevada County,06057
2014,75998,548.0,Orange County,06059
2014,73747,1204.0,Placer County,06061
2014,48032,3968.0,Plumas County,06063
2014,56592,523.0,Riverside County,06065
2014,55615,606.0,Sacramento County,06067
2014,67874,2626.0,San Benito County,06069
2014,54100,452.0,San Bernardino County,06071
2014,63996,576.0,San Diego County,06073
2014,78378,1490.0,San Francisco County,06075
2014,53253,679.0,San Joaquin County,06077
2014,59454,1455.0,San Luis Obispo County,06079
2014,91421,1320.0,San Mateo County,06081
2014,63409,1372.0,Santa Barbara County,06083
2014,93854,745.0,Santa Clara County,06085
2014,66923,1815.0,Santa Cruz County,06087
2014,44556,1108.0,Shasta County,06089
2014,43107,7027.000000000001,Sierra County,06091
2014,37495,1719.0,Siskiyou County,06093
2014,67341,1369.0,Solano County,06095
2014,63799,1179.0,Sonoma County,06097
2014,49573,1110.0,Stanislaus County,06099
2014,51527,1534.0,Sutter County,06101
2014,42369,1978.0,Tehama County,06103
2014,36862,5463.0,Trinity County,06105
2014,42863,901.0,Tulare County,06107
2014,48493,1823.0,Tuolumne County,06109
2014,77335,779.0,Ventura County,06111
2014,55508,1754.0,Yolo County,06113
2014,45470,1777.0,Yuba County,06115
2013,72112,791.0,Alameda County,06001
2013,58636,4440.0,Alpine County,06003
2013,53684,3619.0,Amador County,06005
2013,43752,1016.0,Butte County,06007
2013,55295,2657.0,Calaveras County,06009
2013,52158,3015.0,Colusa County,06011
2013,78756,1124.0,Contra Costa County,06013
2013,37909,4058.000000000001,Del Norte County,06015
2013,69297,2006.0,El Dorado County,06017
2013,45563,638.0,Fresno County,06019
2013,43023,4770.0,Glenn County,06021
2013,41426,1300.0,Humboldt County,06023
2013,41807,1164.0,Imperial County,06025
2013,44796,2174.0,Inyo County,06027
2013,48552,697.0,Kern County,06029
2013,48133,1384.0,Kings County,06031
2013,36548,2344.0,Lake County,06033
2013,53107,2579.0,Lassen County,06035
2013,55909,256.0,Los Angeles County,06037
2013,45625,2264.0,Madera County,06039
2013,90839,2396.0,Marin County,06041
2013,49820,5755.0,Mariposa County,06043
2013,43469,1647.0,Mendocino County,06045
2013,42591,1310.0,Merced County,06047
2013,36212,4104.0,Modoc County,06049
2013,61757,6003.0,Mono County,06051
2013,59168,1037.0,Monterey County,06053
2013,70443,1994.0,Napa County,06055
2013,57353,2119.0,Nevada County,06057
2013,75422,509.0,Orange County,06059
2013,72725,1421.0,Placer County,06061
2013,45794,3583.0,Plumas County,06063
2013,56529,574.0,Riverside County,06065
2013,55064,512.0,Sacramento County,06067
2013,66237,3175.0,San Benito County,06069
2013,54090,511.00000000000006,San Bernardino County,06071
2013,62962,410.0,San Diego County,06073
2013,75604,976.0,San Francisco County,06075
2013,53380,761.0,San Joaquin County,06077
2013,58697,1282.0,San Luis Obispo County,06079
2013,88202,1719.0,San Mateo County,06081
2013,62779,1294.0,Santa Barbara County,06083
2013,91702,705.0,Santa Clara County,06085
2013,66519,1915.0,Santa Cruz County,06087
2013,44651,1324.0,Shasta County,06089
2013,39009,7590.999999999999,Sierra County,06091
2013,37709,1621.0,Siskiyou County,06093
2013,67177,1361.0,Solano County,06095
2013,63356,1036.0,Sonoma County,06097
2013,49297,890.0,Stanislaus County,06099
2013,50408,1606.0,Sutter County,06101
2013,41924,2013.0,Tehama County,06103
2013,36890,4322.0,Trinity County,06105
2013,42708,896.0,Tulare County,06107
2013,48426,1886.0,Tuolumne County,06109
2013,76544,758.0,Ventura County,06111
2013,55918,2010.0,Yolo County,06113
2013,44902,2025.0,Yuba County,06115
