County,Percent_of_Adults_with_Bachelors_or_Higher,Year,area_fips,Bachelor_Degree_Quartile
Alpine County,29.7,2016,6003,Upper Middle Education Percentage
Amador County,21.5,2016,6005,Lower Middle Education Percentage
Butte County,26.1,2016,6007,Upper Middle Education Percentage
Calaveras County,20.2,2016,6009,Lower Middle Education Percentage
Colusa County,14.4,2016,6011,Low Education Percentage
Contra Costa County,40.3,2016,6013,High Education Percentage
Del Norte County,14.9,2016,6015,Low Education Percentage
El Dorado County,33.0,2016,6017,Upper Middle Education Percentage
Fresno County,19.7,2016,6019,Lower Middle Education Percentage
Glenn County,12.7,2016,6021,Low Education Percentage
Humboldt County,28.2,2016,6023,Upper Middle Education Percentage
Imperial County,14.0,2016,6025,Low Education Percentage
Inyo County,24.5,2016,6027,Upper Middle Education Percentage
Kern County,15.7,2016,6029,Low Education Percentage
Kings County,12.8,2016,6031,Low Education Percentage
Lake County,16.2,2016,6033,Low Education Percentage
Lassen County,12.5,2016,6035,Low Education Percentage
Los Angeles County,30.8,2016,6037,Upper Middle Education Percentage
Madera County,13.1,2016,6039,Low Education Percentage
Marin County,57.1,2016,6041,High Education Percentage
Mariposa County,22.6,2016,6043,Lower Middle Education Percentage
Mendocino County,24.1,2016,6045,Upper Middle Education Percentage
Merced County,13.7,2016,6047,Low Education Percentage
Modoc County,18.3,2016,6049,Lower Middle Education Percentage
Mono County,30.6,2016,6051,Upper Middle Education Percentage
Monterey County,23.6,2016,6053,Upper Middle Education Percentage
Napa County,33.0,2016,6055,Upper Middle Education Percentage
Nevada County,34.4,2016,6057,High Education Percentage
Orange County,38.4,2016,6059,High Education Percentage
Placer County,36.9,2016,6061,High Education Percentage
Plumas County,21.9,2016,6063,Lower Middle Education Percentage
Riverside County,21.2,2016,6065,Lower Middle Education Percentage
Sacramento County,29.3,2016,6067,Upper Middle Education Percentage
San Benito County,19.0,2016,6069,Lower Middle Education Percentage
San Bernardino County,19.3,2016,6071,Lower Middle Education Percentage
San Diego County,36.5,2016,6073,High Education Percentage
San Francisco County,54.8,2016,6075,High Education Percentage
San Joaquin County,18.2,2016,6077,Lower Middle Education Percentage
San Luis Obispo County,34.1,2016,6079,High Education Percentage
San Mateo County,47.1,2016,6081,High Education Percentage
Santa Barbara County,32.2,2016,6083,Upper Middle Education Percentage
Santa Clara County,49.1,2016,6085,High Education Percentage
Santa Cruz County,39.0,2016,6087,High Education Percentage
Shasta County,20.1,2016,6089,Lower Middle Education Percentage
Sierra County,19.8,2016,6091,Lower Middle Education Percentage
Siskiyou County,22.2,2016,6093,Lower Middle Education Percentage
Solano County,25.1,2016,6095,Upper Middle Education Percentage
Sonoma County,33.1,2016,6097,Upper Middle Education Percentage
Stanislaus County,16.5,2016,6099,Low Education Percentage
Sutter County,17.9,2016,6101,Low Education Percentage
Tehama County,13.8,2016,6103,Low Education Percentage
Trinity County,20.1,2016,6105,Lower Middle Education Percentage
Tulare County,14.0,2016,6107,Low Education Percentage
Tuolumne County,19.7,2016,6109,Lower Middle Education Percentage
Ventura County,32.2,2016,6111,Upper Middle Education Percentage
Yolo County,40.0,2016,6113,High Education Percentage
Yuba County,15.5,2016,6115,Low Education Percentage
Alameda County,43.0,2015,6001,High Education Percentage
Alpine County,27.5,2015,6003,Upper Middle Education Percentage
Amador County,21.3,2015,6005,Lower Middle Education Percentage
Butte County,25.9,2015,6007,Upper Middle Education Percentage
Calaveras County,20.9,2015,6009,Lower Middle Education Percentage
Colusa County,14.6,2015,6011,Low Education Percentage
Contra Costa County,39.6,2015,6013,High Education Percentage
Del Norte County,15.1,2015,6015,Low Education Percentage
El Dorado County,32.1,2015,6017,Upper Middle Education Percentage
Fresno County,19.4,2015,6019,Lower Middle Education Percentage
Glenn County,14.9,2015,6021,Low Education Percentage
Humboldt County,28.0,2015,6023,Upper Middle Education Percentage
Imperial County,14.1,2015,6025,Low Education Percentage
Inyo County,23.9,2015,6027,Upper Middle Education Percentage
Kern County,15.4,2015,6029,Low Education Percentage
Kings County,13.4,2015,6031,Low Education Percentage
Lake County,16.0,2015,6033,Low Education Percentage
Lassen County,12.3,2015,6035,Low Education Percentage
Los Angeles County,30.3,2015,6037,Upper Middle Education Percentage
Madera County,13.3,2015,6039,Low Education Percentage
Marin County,55.8,2015,6041,High Education Percentage
Mariposa County,22.1,2015,6043,Lower Middle Education Percentage
Mendocino County,23.7,2015,6045,Upper Middle Education Percentage
Merced County,13.1,2015,6047,Low Education Percentage
Modoc County,18.0,2015,6049,Lower Middle Education Percentage
Mono County,32.3,2015,6051,Upper Middle Education Percentage
Monterey County,23.1,2015,6053,Lower Middle Education Percentage
Napa County,32.4,2015,6055,Upper Middle Education Percentage
Nevada County,33.7,2015,6057,Upper Middle Education Percentage
Orange County,37.7,2015,6059,High Education Percentage
Placer County,36.4,2015,6061,High Education Percentage
Plumas County,22.0,2015,6063,Lower Middle Education Percentage
Riverside County,20.9,2015,6065,Lower Middle Education Percentage
Sacramento County,28.8,2015,6067,Upper Middle Education Percentage
San Benito County,19.0,2015,6069,Lower Middle Education Percentage
San Bernardino County,19.0,2015,6071,Lower Middle Education Percentage
San Diego County,35.7,2015,6073,High Education Percentage
San Francisco County,53.8,2015,6075,High Education Percentage
San Joaquin County,18.4,2015,6077,Lower Middle Education Percentage
San Luis Obispo County,33.0,2015,6079,Upper Middle Education Percentage
San Mateo County,45.6,2015,6081,High Education Percentage
Santa Barbara County,32.2,2015,6083,Upper Middle Education Percentage
Santa Clara County,47.9,2015,6085,High Education Percentage
Santa Cruz County,38.2,2015,6087,High Education Percentage
Shasta County,19.6,2015,6089,Lower Middle Education Percentage
Sierra County,18.9,2015,6091,Lower Middle Education Percentage
Siskiyou County,22.7,2015,6093,Lower Middle Education Percentage
Solano County,24.9,2015,6095,Upper Middle Education Percentage
Sonoma County,32.9,2015,6097,Upper Middle Education Percentage
Stanislaus County,16.5,2015,6099,Low Education Percentage
Sutter County,17.6,2015,6101,Low Education Percentage
Tehama County,14.4,2015,6103,Low Education Percentage
Trinity County,20.0,2015,6105,Lower Middle Education Percentage
Tulare County,13.8,2015,6107,Low Education Percentage
Tuolumne County,20.4,2015,6109,Lower Middle Education Percentage
Ventura County,31.7,2015,6111,Upper Middle Education Percentage
Yolo County,39.0,2015,6113,High Education Percentage
Yuba County,14.3,2015,6115,Low Education Percentage
Alameda County,42.1,2014,6001,High Education Percentage
Alpine County,30.5,2014,6003,Upper Middle Education Percentage
Amador County,20.5,2014,6005,Lower Middle Education Percentage
Butte County,25.0,2014,6007,Upper Middle Education Percentage
Calaveras County,21.1,2014,6009,Lower Middle Education Percentage
Colusa County,14.3,2014,6011,Low Education Percentage
Contra Costa County,39.4,2014,6013,High Education Percentage
Del Norte County,16.0,2014,6015,Low Education Percentage
El Dorado County,32.1,2014,6017,Upper Middle Education Percentage
Fresno County,19.5,2014,6019,Lower Middle Education Percentage
Glenn County,15.7,2014,6021,Low Education Percentage
Humboldt County,27.5,2014,6023,Upper Middle Education Percentage
Imperial County,13.4,2014,6025,Low Education Percentage
Inyo County,21.4,2014,6027,Lower Middle Education Percentage
Kern County,15.2,2014,6029,Low Education Percentage
Kings County,12.5,2014,6031,Low Education Percentage
Lake County,16.2,2014,6033,Low Education Percentage
Lassen County,12.9,2014,6035,Low Education Percentage
Los Angeles County,29.9,2014,6037,Upper Middle Education Percentage
Madera County,13.5,2014,6039,Low Education Percentage
Marin County,54.8,2014,6041,High Education Percentage
Mariposa County,22.4,2014,6043,Lower Middle Education Percentage
Mendocino County,22.5,2014,6045,Lower Middle Education Percentage
Merced County,13.0,2014,6047,Low Education Percentage
Modoc County,18.5,2014,6049,Lower Middle Education Percentage
Mono County,33.3,2014,6051,Upper Middle Education Percentage
Monterey County,23.1,2014,6053,Lower Middle Education Percentage
Napa County,31.9,2014,6055,Upper Middle Education Percentage
Nevada County,32.8,2014,6057,Upper Middle Education Percentage
Orange County,37.3,2014,6059,High Education Percentage
Placer County,35.7,2014,6061,High Education Percentage
Plumas County,22.7,2014,6063,Lower Middle Education Percentage
Riverside County,20.8,2014,6065,Lower Middle Education Percentage
Sacramento County,28.2,2014,6067,Upper Middle Education Percentage
San Benito County,19.0,2014,6069,Lower Middle Education Percentage
San Bernardino County,18.8,2014,6071,Lower Middle Education Percentage
San Diego County,35.1,2014,6073,High Education Percentage
San Francisco County,52.9,2014,6075,High Education Percentage
San Joaquin County,18.1,2014,6077,Lower Middle Education Percentage
San Luis Obispo County,32.1,2014,6079,Upper Middle Education Percentage
San Mateo County,45.0,2014,6081,High Education Percentage
Santa Barbara County,31.4,2014,6083,Upper Middle Education Percentage
Santa Clara County,47.3,2014,6085,High Education Percentage
Santa Cruz County,37.5,2014,6087,High Education Percentage
Shasta County,19.1,2014,6089,Lower Middle Education Percentage
Sierra County,19.0,2014,6091,Lower Middle Education Percentage
Siskiyou County,24.0,2014,6093,Upper Middle Education Percentage
Solano County,24.3,2014,6095,Upper Middle Education Percentage
Sonoma County,32.6,2014,6097,Upper Middle Education Percentage
Stanislaus County,16.4,2014,6099,Low Education Percentage
Sutter County,18.5,2014,6101,Lower Middle Education Percentage
Tehama County,14.1,2014,6103,Low Education Percentage
Trinity County,22.0,2014,6105,Lower Middle Education Percentage
Tulare County,13.3,2014,6107,Low Education Percentage
Tuolumne County,19.8,2014,6109,Lower Middle Education Percentage
Ventura County,31.6,2014,6111,Upper Middle Education Percentage
Yolo County,38.3,2014,6113,High Education Percentage
Yuba County,14.2,2014,6115,Low Education Percentage
Alameda County,41.8,2013,6001,High Education Percentage
Alpine County,31.2,2013,6003,Upper Middle Education Percentage
Amador County,19.3,2013,6005,Lower Middle Education Percentage
Butte County,24.4,2013,6007,Upper Middle Education Percentage
Calaveras County,21.2,2013,6009,Lower Middle Education Percentage
Colusa County,13.8,2013,6011,Low Education Percentage
Contra Costa County,39.0,2013,6013,High Education Percentage
Del Norte County,14.0,2013,6015,Low Education Percentage
El Dorado County,32.0,2013,6017,Upper Middle Education Percentage
Fresno County,19.6,2013,6019,Lower Middle Education Percentage
Glenn County,14.6,2013,6021,Low Education Percentage
Humboldt County,27.5,2013,6023,Upper Middle Education Percentage
Imperial County,13.3,2013,6025,Low Education Percentage
Inyo County,21.4,2013,6027,Lower Middle Education Percentage
Kern County,15.0,2013,6029,Low Education Percentage
Kings County,12.9,2013,6031,Low Education Percentage
Lake County,16.2,2013,6033,Low Education Percentage
Lassen County,13.1,2013,6035,Low Education Percentage
Los Angeles County,29.7,2013,6037,Upper Middle Education Percentage
Madera County,13.6,2013,6039,Low Education Percentage
Marin County,54.6,2013,6041,High Education Percentage
Mariposa County,21.3,2013,6043,Lower Middle Education Percentage
Mendocino County,22.0,2013,6045,Lower Middle Education Percentage
Merced County,12.6,2013,6047,Low Education Percentage
Modoc County,18.7,2013,6049,Lower Middle Education Percentage
Mono County,29.8,2013,6051,Upper Middle Education Percentage
Monterey County,23.0,2013,6053,Lower Middle Education Percentage
Napa County,31.3,2013,6055,Upper Middle Education Percentage
Nevada County,32.3,2013,6057,Upper Middle Education Percentage
Orange County,36.8,2013,6059,High Education Percentage
Placer County,35.1,2013,6061,High Education Percentage
Plumas County,22.6,2013,6063,Lower Middle Education Percentage
Riverside County,20.5,2013,6065,Lower Middle Education Percentage
Sacramento County,28.0,2013,6067,Upper Middle Education Percentage
San Benito County,18.2,2013,6069,Lower Middle Education Percentage
San Bernardino County,18.7,2013,6071,Lower Middle Education Percentage
San Diego County,34.6,2013,6073,High Education Percentage
San Francisco County,52.4,2013,6075,High Education Percentage
San Joaquin County,18.1,2013,6077,Lower Middle Education Percentage
San Luis Obispo County,31.5,2013,6079,Upper Middle Education Percentage
San Mateo County,44.4,2013,6081,High Education Percentage
Santa Barbara County,31.3,2013,6083,Upper Middle Education Percentage
Santa Clara County,46.5,2013,6085,High Education Percentage
Santa Cruz County,37.0,2013,6087,High Education Percentage
Shasta County,18.8,2013,6089,Lower Middle Education Percentage
Sierra County,18.5,2013,6091,Lower Middle Education Percentage
Siskiyou County,23.9,2013,6093,Upper Middle Education Percentage
Solano County,24.3,2013,6095,Upper Middle Education Percentage
Sonoma County,32.2,2013,6097,Upper Middle Education Percentage
Stanislaus County,16.4,2013,6099,Low Education Percentage
Sutter County,18.7,2013,6101,Lower Middle Education Percentage
Tehama County,13.5,2013,6103,Low Education Percentage
Trinity County,21.3,2013,6105,Lower Middle Education Percentage
Tulare County,13.3,2013,6107,Low Education Percentage
Tuolumne County,19.5,2013,6109,Lower Middle Education Percentage
Ventura County,31.4,2013,6111,Upper Middle Education Percentage
Yolo County,37.9,2013,6113,High Education Percentage
Yuba County,13.7,2013,6115,Low Education Percentage
Alameda County,41.1,2012,6001,High Education Percentage
Alpine County,31.7,2012,6003,Upper Middle Education Percentage
Amador County,18.8,2012,6005,Lower Middle Education Percentage
Butte County,24.0,2012,6007,Upper Middle Education Percentage
Calaveras County,20.8,2012,6009,Lower Middle Education Percentage
Colusa County,13.5,2012,6011,Low Education Percentage
Contra Costa County,38.6,2012,6013,High Education Percentage
Del Norte County,13.8,2012,6015,Low Education Percentage
El Dorado County,31.3,2012,6017,Upper Middle Education Percentage
Fresno County,19.4,2012,6019,Lower Middle Education Percentage
Glenn County,15.4,2012,6021,Low Education Percentage
Humboldt County,26.4,2012,6023,Upper Middle Education Percentage
Imperial County,13.2,2012,6025,Low Education Percentage
Inyo County,21.0,2012,6027,Lower Middle Education Percentage
Kern County,14.9,2012,6029,Low Education Percentage
Kings County,12.4,2012,6031,Low Education Percentage
Lake County,16.8,2012,6033,Low Education Percentage
Lassen County,13.5,2012,6035,Low Education Percentage
Los Angeles County,29.5,2012,6037,Upper Middle Education Percentage
Madera County,13.9,2012,6039,Low Education Percentage
Marin County,54.6,2012,6041,High Education Percentage
Mariposa County,19.9,2012,6043,Lower Middle Education Percentage
Mendocino County,21.4,2012,6045,Lower Middle Education Percentage
Merced County,12.5,2012,6047,Low Education Percentage
Modoc County,19.4,2012,6049,Lower Middle Education Percentage
Mono County,29.1,2012,6051,Upper Middle Education Percentage
Monterey County,23.2,2012,6053,Upper Middle Education Percentage
Napa County,31.2,2012,6055,Upper Middle Education Percentage
Nevada County,32.7,2012,6057,Upper Middle Education Percentage
Orange County,36.6,2012,6059,High Education Percentage
Placer County,34.7,2012,6061,High Education Percentage
Plumas County,22.9,2012,6063,Lower Middle Education Percentage
Riverside County,20.5,2012,6065,Lower Middle Education Percentage
Sacramento County,27.9,2012,6067,Upper Middle Education Percentage
San Benito County,18.4,2012,6069,Lower Middle Education Percentage
San Bernardino County,18.6,2012,6071,Lower Middle Education Percentage
San Diego County,34.4,2012,6073,High Education Percentage
San Francisco County,52.0,2012,6075,High Education Percentage
San Joaquin County,17.9,2012,6077,Low Education Percentage
San Luis Obispo County,31.5,2012,6079,Upper Middle Education Percentage
San Mateo County,43.9,2012,6081,High Education Percentage
Santa Barbara County,31.5,2012,6083,Upper Middle Education Percentage
Santa Clara County,46.0,2012,6085,High Education Percentage
Santa Cruz County,37.5,2012,6087,High Education Percentage
Shasta County,19.3,2012,6089,Lower Middle Education Percentage
Sierra County,16.7,2012,6091,Low Education Percentage
Siskiyou County,23.1,2012,6093,Lower Middle Education Percentage
Solano County,24.2,2012,6095,Upper Middle Education Percentage
Sonoma County,32.1,2012,6097,Upper Middle Education Percentage
Stanislaus County,16.3,2012,6099,Low Education Percentage
Sutter County,18.4,2012,6101,Lower Middle Education Percentage
Tehama County,13.1,2012,6103,Low Education Percentage
Trinity County,19.7,2012,6105,Lower Middle Education Percentage
Tulare County,13.3,2012,6107,Low Education Percentage
Tuolumne County,17.4,2012,6109,Low Education Percentage
Ventura County,31.2,2012,6111,Upper Middle Education Percentage
Yolo County,38.0,2012,6113,High Education Percentage
Yuba County,13.6,2012,6115,Low Education Percentage
Alameda County,40.8,2011,6001,High Education Percentage
Alpine County,32.0,2011,6003,Upper Middle Education Percentage
Amador County,18.8,2011,6005,Lower Middle Education Percentage
Butte County,24.0,2011,6007,Upper Middle Education Percentage
Calaveras County,20.7,2011,6009,Lower Middle Education Percentage
Colusa County,13.0,2011,6011,Low Education Percentage
Contra Costa County,38.4,2011,6013,High Education Percentage
Del Norte County,14.3,2011,6015,Low Education Percentage
El Dorado County,30.8,2011,6017,Upper Middle Education Percentage
Fresno County,19.5,2011,6019,Lower Middle Education Percentage
Glenn County,15.5,2011,6021,Low Education Percentage
Humboldt County,26.3,2011,6023,Upper Middle Education Percentage
Imperial County,12.8,2011,6025,Low Education Percentage
Inyo County,22.5,2011,6027,Lower Middle Education Percentage
Kern County,14.6,2011,6029,Low Education Percentage
Kings County,12.5,2011,6031,Low Education Percentage
Lake County,16.2,2011,6033,Low Education Percentage
Lassen County,12.4,2011,6035,Low Education Percentage
Los Angeles County,29.2,2011,6037,Upper Middle Education Percentage
Madera County,14.0,2011,6039,Low Education Percentage
Marin County,54.0,2011,6041,High Education Percentage
Mariposa County,20.5,2011,6043,Lower Middle Education Percentage
Mendocino County,22.1,2011,6045,Lower Middle Education Percentage
Merced County,12.3,2011,6047,Low Education Percentage
Modoc County,16.2,2011,6049,Low Education Percentage
Mono County,30.3,2011,6051,Upper Middle Education Percentage
Monterey County,23.2,2011,6053,Upper Middle Education Percentage
Napa County,30.7,2011,6055,Upper Middle Education Percentage
Nevada County,32.4,2011,6057,Upper Middle Education Percentage
Orange County,36.2,2011,6059,High Education Percentage
Placer County,34.6,2011,6061,High Education Percentage
Plumas County,21.1,2011,6063,Lower Middle Education Percentage
Riverside County,20.6,2011,6065,Lower Middle Education Percentage
Sacramento County,27.7,2011,6067,Upper Middle Education Percentage
San Benito County,18.3,2011,6069,Lower Middle Education Percentage
San Bernardino County,18.6,2011,6071,Lower Middle Education Percentage
San Diego County,34.2,2011,6073,High Education Percentage
San Francisco County,51.4,2011,6075,High Education Percentage
San Joaquin County,17.6,2011,6077,Low Education Percentage
San Luis Obispo County,30.8,2011,6079,Upper Middle Education Percentage
San Mateo County,43.9,2011,6081,High Education Percentage
Santa Barbara County,31.3,2011,6083,Upper Middle Education Percentage
Santa Clara County,45.5,2011,6085,High Education Percentage
Santa Cruz County,38.1,2011,6087,High Education Percentage
Shasta County,19.7,2011,6089,Lower Middle Education Percentage
Sierra County,18.6,2011,6091,Lower Middle Education Percentage
Siskiyou County,22.6,2011,6093,Lower Middle Education Percentage
Solano County,24.2,2011,6095,Upper Middle Education Percentage
Sonoma County,31.8,2011,6097,Upper Middle Education Percentage
Stanislaus County,16.4,2011,6099,Low Education Percentage
Sutter County,18.9,2011,6101,Lower Middle Education Percentage
Tehama County,12.6,2011,6103,Low Education Percentage
Trinity County,19.3,2011,6105,Lower Middle Education Percentage
Tulare County,12.9,2011,6107,Low Education Percentage
Tuolumne County,17.9,2011,6109,Low Education Percentage
Ventura County,31.0,2011,6111,Upper Middle Education Percentage
Yolo County,38.4,2011,6113,High Education Percentage
Yuba County,12.7,2011,6115,Low Education Percentage
Alameda County,40.3,2010,6001,High Education Percentage
Alpine County,29.7,2010,6003,Upper Middle Education Percentage
Amador County,19.0,2010,6005,Lower Middle Education Percentage
Butte County,24.1,2010,6007,Upper Middle Education Percentage
Calaveras County,19.6,2010,6009,Lower Middle Education Percentage
Colusa County,11.7,2010,6011,Low Education Percentage
Contra Costa County,38.2,2010,6013,High Education Percentage
Del Norte County,14.3,2010,6015,Low Education Percentage
El Dorado County,31.1,2010,6017,Upper Middle Education Percentage
Fresno County,19.7,2010,6019,Lower Middle Education Percentage
Glenn County,16.2,2010,6021,Low Education Percentage
Humboldt County,26.3,2010,6023,Upper Middle Education Percentage
Imperial County,12.2,2010,6025,Low Education Percentage
Inyo County,20.9,2010,6027,Lower Middle Education Percentage
Kern County,14.7,2010,6029,Low Education Percentage
Kings County,11.8,2010,6031,Low Education Percentage
Lake County,16.4,2010,6033,Low Education Percentage
Lassen County,12.4,2010,6035,Low Education Percentage
Los Angeles County,29.0,2010,6037,Upper Middle Education Percentage
Madera County,13.5,2010,6039,Low Education Percentage
Marin County,54.1,2010,6041,High Education Percentage
Mariposa County,20.4,2010,6043,Lower Middle Education Percentage
Mendocino County,22.7,2010,6045,Lower Middle Education Percentage
Merced County,12.5,2010,6047,Low Education Percentage
Modoc County,15.6,2010,6049,Low Education Percentage
Mono County,29.9,2010,6051,Upper Middle Education Percentage
Monterey County,23.4,2010,6053,Upper Middle Education Percentage
Napa County,30.0,2010,6055,Upper Middle Education Percentage
Nevada County,31.9,2010,6057,Upper Middle Education Percentage
Orange County,36.0,2010,6059,High Education Percentage
Placer County,34.1,2010,6061,High Education Percentage
Plumas County,19.8,2010,6063,Lower Middle Education Percentage
Riverside County,20.5,2010,6065,Lower Middle Education Percentage
Sacramento County,27.8,2010,6067,Upper Middle Education Percentage
San Benito County,18.3,2010,6069,Lower Middle Education Percentage
San Bernardino County,18.4,2010,6071,Lower Middle Education Percentage
San Diego County,34.1,2010,6073,High Education Percentage
San Francisco County,51.2,2010,6075,High Education Percentage
San Joaquin County,17.5,2010,6077,Low Education Percentage
San Luis Obispo County,30.6,2010,6079,Upper Middle Education Percentage
San Mateo County,44.0,2010,6081,High Education Percentage
Santa Barbara County,31.0,2010,6083,Upper Middle Education Percentage
Santa Clara County,45.3,2010,6085,High Education Percentage
Santa Cruz County,37.3,2010,6087,High Education Percentage
Shasta County,20.0,2010,6089,Lower Middle Education Percentage
Sierra County,23.0,2010,6091,Lower Middle Education Percentage
Siskiyou County,22.6,2010,6093,Lower Middle Education Percentage
Solano County,24.0,2010,6095,Upper Middle Education Percentage
Sonoma County,31.5,2010,6097,Upper Middle Education Percentage
Stanislaus County,16.3,2010,6099,Low Education Percentage
Sutter County,18.7,2010,6101,Lower Middle Education Percentage
Tehama County,12.6,2010,6103,Low Education Percentage
Trinity County,19.5,2010,6105,Lower Middle Education Percentage
Tulare County,13.0,2010,6107,Low Education Percentage
Tuolumne County,17.3,2010,6109,Low Education Percentage
Ventura County,30.8,2010,6111,Upper Middle Education Percentage
Yolo County,37.8,2010,6113,High Education Percentage
Yuba County,12.5,2010,6115,Low Education Percentage
